#---------------- data copied from ChemKin/S3D/Fuego -----------------
# Species, eps/kB (K), sigma (ang), alpha (D), alpha (ang^3), Zrot@298 K
#   - eps/kB: Lennard-Jones potential well depth, epsilon over kB with kB the Boltzmann constant in Kelvin
#   - sigma:  Lennard-Jones collision diameter in angström
#   - alpha:  dipole moment in Debye
#   - alpha:  polarizability in cubic angström
#   - Zrot@298 K: rotationnal relaxation collision number at 298 Kelvin
#---------------------------------------------------------------------
HC2N2                 349.000     4.361     0.000     0.000     1.000
HCCHCCH               357.000     5.180     0.000     0.000     1.000
HCCO                  150.000     2.500     0.000     0.000     1.000
HCNN                  150.000     2.500     0.000     0.000     1.000
HCCOH                 436.000     3.970     0.000     0.000     2.000
HCN                   569.000     3.630     0.000     0.000     1.000
HCO                   498.000     3.590     0.000     0.000     0.000
HE                     10.200     2.576     0.000     0.000     0.000
HCNO                  232.400     3.828     0.000     0.000     1.000
HOCN                  232.400     3.828     0.000     0.000     1.000
HNCO                  232.400     3.828     0.000     0.000     1.000
HNNO                  232.400     3.828     0.000     0.000     1.000
HNO                   116.700     3.492     0.000     0.000     1.000
HNOH                  116.700     3.492     0.000     0.000     1.000
HO2                   107.400     3.458     0.000     0.000     1.000
N                      71.400     3.298     0.000     0.000     0.000
N2                     97.530     3.621     0.000     1.760     4.000
N2H2                   71.400     3.798     0.000     0.000     1.000
N2H3                  200.000     3.900     0.000     0.000     1.000
N2H4                  205.000     4.230     0.000     4.260     1.500
N2O                   232.400     3.828     0.000     0.000     1.000
NCN                   232.400     3.828     0.000     0.000     1.000
NCO                   232.400     3.828     0.000     0.000     1.000
NH                     80.000     2.650     0.000     0.000     4.000
NH2                    80.000     2.650     0.000     2.260     4.000
NH3                   481.000     2.920     1.470     0.000    10.000
NNH                    71.400     3.798     0.000     0.000     1.000
NO                     97.530     3.621     0.000     1.760     4.000
NCNO                  232.400     3.828     0.000     0.000     1.000
NO2                   200.000     3.500     0.000     0.000     1.000
O                      80.000     2.750     0.000     0.000     0.000
O2                    107.400     3.458     0.000     1.600     3.800
OH                     80.000     2.750     0.000     0.000     0.000

